bin,count,mean_confidence,observed_accuracy,abs_gap
"(0.2, 0.3]",8,0.275625,0.0,0.275625
"(0.3, 0.4]",12,0.35441666666666666,0.0,0.35441666666666666
"(0.4, 0.5]",12,0.4495,0.0,0.4495
"(0.5, 0.6]",39,0.5752307692307694,0.07692307692307693,0.4983076923076925
"(0.6, 0.7]",18,0.6748888888888889,0.7777777777777778,0.10288888888888892
"(0.7, 0.8]",103,0.7576213592233008,0.8543689320388349,0.09674757281553414
"(0.8, 0.9]",98,0.8460714285714286,0.8367346938775511,0.009336734693877524
"(0.9, 1.0]",30,0.9375666666666668,0.7333333333333333,0.2042333333333335
