bin,count,mean_confidence,observed_accuracy,abs_gap
"(0.2, 0.3]",3,0.24333333333333332,0.0,0.24333333333333332
"(0.3, 0.4]",14,0.3507857142857143,0.0,0.3507857142857143
"(0.4, 0.5]",11,0.4464545454545455,0.0,0.4464545454545455
"(0.5, 0.6]",7,0.5531428571428572,0.5714285714285714,0.01828571428571424
"(0.6, 0.7]",36,0.6675833333333334,0.9722222222222222,0.3046388888888888
"(0.7, 0.8]",96,0.7489479166666667,0.9583333333333334,0.20938541666666666
"(0.8, 0.9]",108,0.8444537037037038,0.9722222222222222,0.12776851851851845
"(0.9, 1.0]",45,0.9303999999999999,0.9111111111111111,0.0192888888888888
