bin,count,mean_confidence,observed_accuracy,abs_gap
"(0.2, 0.3]",3,0.284,0.0,0.284
"(0.3, 0.4]",10,0.35469999999999996,0.0,0.35469999999999996
"(0.4, 0.5]",13,0.4611538461538461,0.0,0.4611538461538461
"(0.5, 0.6]",26,0.5739230769230769,0.0,0.5739230769230769
"(0.6, 0.7]",18,0.6677222222222222,0.5555555555555556,0.11216666666666664
"(0.7, 0.8]",81,0.7612345679012346,0.7530864197530864,0.008148148148148127
"(0.8, 0.9]",105,0.8485238095238095,0.7523809523809524,0.09614285714285709
"(0.9, 1.0]",64,0.937421875,0.65625,0.28117187499999996
